메인재료	부재료 1	부재료 2	부재료 3	조리방식	재료 수량	음식 수량	대사 ( 한국어 )	대사 ( 영어 )	다시 물어보기 1 ( 한국어 )	다시 물어보기 1 ( 영어 )	다시 물어보기 2 ( 한국어 )	다시 물어보기 2 ( 영어 )
면	스티커	없음	없음	없음	6	1	"와이파이 있으신가요? 잠시 빌려써도 될까요? 스티커 파스타 하나 주문할게요."	"Do you have Wi-Fi? Can I borrow it for a while? I'd like to order a sticker pasta."	"스티커 파스타 하나 주문할 테니, 조금이라도 안 될까요?"	"I'll order a sticker pasta, so can I have a little?"	"잠시만이면 돼요! 스티커 파스타 하나 주문할게요."	"Just a moment! I'd like to order a sticker pasta."
면	스티커	없음	없음	없음	6	1	"파스타 하나요. 접착력이 강하게요."	"One pasta, please. with strong adhesion."	"얇고 접착력이 강한 파스타 하나요."	"One thin, adhesive pasta, please."	"스티커를 넣은 파스타 하나요."	"One pasta with stickers, please."
면	스티커	없음	없음	없음	6	1	"파스타랑 스티커가 같이 있으면 맛이 이상해요. 하지만 중독되는 맛이에요."	"It tastes weird with pasta and stickers. But it's an addictive taste."	"중독되는 그 맛.. 스티커를 넣은 파스타 이상하죠."	"The taste that makes you addicted... Pasta with stickers is weird."	"스티커를 넣은 파스타는 저의 최애 음식입니다."	"Pasta with stickers is my favorite food."
면	스티커	없음	없음	없음	6	1	"접착제처럼 찐득하고, 가느다란 파스타"	"It's sticky like glue, thin pasta"	"얇고 찐득한 종이와 가느다란 파스타"	"Thin and sticky paper and thin pasta"	"스티커처럼 찐득하고, 가느다란 파스타"	"Sticky, thin pasta like a sticker"
면	스티커	없음	없음	없음	6	1	"요나하 타스파 커티스"	"Eno Atsap Rekcits"	"요나하 타스파 스티커"	"Eno Atsap Sticker"	"하나요 파스타 스티커"	"One Pasta Sticker"
면	방부제	없음	없음	없음	6	1	"썩지 않는 파스타 하나요."	"One pasta that doesn't rot."	"썩지 않게만 해준다면 파스타를 오래 먹을 수 있어요!"	"I can eat pasta for a long time if I don't let it rot!"	"방부제를 넣어 파스타를 오래 먹을 수 있게 해주세요."	"Put preservatives in so that pasta can last long."
면	방부제	없음	없음	없음	6	1	"고대 이집트에선 왕족과 귀족들의 면을 방부제로 관리 하시던 거 아시나요...."	"Do you know that in ancient Egypt, the aspects of royalty and aristocracy were managed as preservatives..."	"제 음식도 왕족과 귀족처럼 관리해주세요."	"Please manage my food like royalty and aristocracy."	"제 면도 방부제를 넣어 관리해주세요."	"Please take care of my pasta with preservatives, too."
면	방부제	없음	없음	없음	6	1	"포르말린 파스타를 드셔보셨나요? 정말 맛있어요!"	"Have you tried formalin pasta? It's really good!"	"포르말린 파스타를 드셔보셨나요? 오래 먹을 수 있어요!"	"Have you tried formalin pasta? You can eat it for a long time!"	"방부제 파스타를 드셔보셨나요? 정말 맛있어요!"	"Have you tried preservative pasta? It's really good!"
면	방부제	없음	없음	없음	6	1	"오래 먹을 수 있는 파스타 주세요."	"Please give me pasta that I can eat for a long time."	"썩지 않는 파스타 주세요."	"Please give me pasta that doesn't rot."	"방부제를 넣은 파스타 주세요."	"Pasta with preservatives, please."
면	방부제	없음	없음	없음	6	1	"그냥 방부제 파스타 주세요."	"Just a preservative pasta, please."	"작은 여러 알갱이가 들어간 방부제 파스타 주세요."	"I'd like a preservative pasta with several small grains."	"오래 먹을 수 있게 방부제를 넣은 파스타 주세요."	"Please give me pasta with preservatives so that I can eat it for a long time."
면	똥	없음	없음	없음	6	1	"길게 늘어져 있는 웃는 똥에 대해 들어보셨나요? 히히..."	"Have you heard of the long drooping smiling poop? "Hehe..."	"어제 화장실에서 봤던 길게 늘어져 있는 똥 하나 주세요."	"Please give me a long drooping poop that I saw in the bathroom yesterday."	"파스타 처럼 길게 늘어져 있는 똥 하나 주세요."	"Give me a poo that hangs long like a pasta."
면	똥	없음	없음	없음	6	1	"땡큐 베리 풉…파"	"Thank you very poop…pa"	"파스타를 만들어 주신다면 땡큐 베리 풉.."	"If you make pasta, thank you very poop."	"똥을 넣은 파스타를 만들어 주시면 너무 감사하죠"	"I'd appreciate it if you could make pasta with poop."
면	똥	없음	없음	없음	6	1	"어제 화장실에 봤던 기다란거 주세요."	"Give me the long one I saw in the bathroom yesterday."	"아직도 생생해요. 기다란 똥이였어요."	"It's still vivid. It was a long poo."	"면처럼 기다란 똥이었어요."	"It was a long poop like cotton."
면	똥	없음	없음	없음	6	2	"긴 똥 냄새를 맡고 두 개의 행성을 빠르게 달려왔어요."	"I smelled long poo and ran fast across two planets."	"면 처럼 긴 똥 냄새를 맡고 두 개의 행성을 빠르게 달려왔어요."	"I smelled a long poop like cotton and ran fast across two planets."	"맞아요. 똥을 넣은 파스타 2개 주세요."	"That's right. I'd like two pasta with poop."
면	똥	없음	없음	없음	6	2	"똥똥 파스타"	"PoopPoop pasta."	"더블 똥 파스타"	"Double poop pasta"	"똥 파스타 2개"	"Two pieces of poop pasta"
면	종이	없음	없음	없음	6	1	"페이퍼 면이 들어간 음식은 몇 달러 페이퍼?"	"How many dollars is the food with paper noodles?"	"종이가 들어간 파스타는 얼마일까요?"	"How much is the pasta with paper?"	"저렴한 종이 파스타 하나 주세요."	"A cheap paper pasta, please."
면	종이	없음	없음	없음	6	1	"파피루스 파스타 하나요."	"One papyrus pasta, please."	"고대 이집트에서 파피루스의 줄기로 만든 그 종이를 넣은 파스타 하나 주세요."	"I'd like a pasta with that paper made from the stems of papyrus in ancient Egypt."	"네, 종이면 좋으니 파스타에 넣어주세요."	"Yes, paper would be great, so please put it in the pasta."
면	종이	없음	없음	없음	6	1	"요나하 타스파 이종"	"Eno Atsap Repap"	"요나하 타스파 종이"	"Eno Atsap Paper"	"하나요 파스타 종이"	"One pasta paper"
면	종이	없음	없음	없음	6	1	"종이 파스타.. 제 눈으로 확인해 봐야겠어요"	"Paper pasta... I'll have to check with my own eyes."	"신기하죠. 종이 파스타라는 음식이 실제로 있는 줄 몰랐어요."	"It's amazing. I didn't know there was a food called paper pasta."	"네, 종이 그리고 파스타. 주세요."	"Yes, paper and pasta. Please."
면	종이	없음	없음	없음	6	1	"종이를 밥에 넣어 먹어도 봤고, 파스타에 넣어 먹으면?"	"I've seen you putting paper in rice. What if you put it in pasta?"	"밥은 제 입맛이 아니였어요. 파스타에 넣어 먹으면 어떤 맛이 느껴질지 궁금해요."	"The meal was not my cup of tea. I wonder how it would taste if I put it in pasta."	"제 파스타에 종이 제외하고 다 빼주세요."	"Please remove all but paper from my pasta."
면	너트	없음	없음	없음	6	1	"너트와 돈을 넣은 파스타요. 아, 돈은 빼주세요."	"Pasta with nuts and money. Oh, take out the money."	"너트는 먹을 수 있지만 돈을 도저히 못 먹겠어요."	"I can eat nuts, but I can't afford them."	"네, 너트를 넣은 파스타 주세요."	"Yes, pasta with nuts, please."
면	너트	없음	없음	없음	6	1	"ㅇㄴㅅ ㅍㅅㅌ ㅎㄴㅇ"	"N.P.O"	"ㅇㄴㅅ 파스타 하나요."	"N.Pasta.One"	"암나사 파스타 하나요."	"Nut.Pasta.One"
면	너트	없음	없음	없음	6	1	"암나사 파스타 하나요"	"One female screw pasta, please"	"너트 파스타 하나요."	"One nut pasta, please."	"네, 너트 그리고 파스타. 주세요."	"Yes, nuts and pasta. Please."
면	너트	없음	없음	없음	6	2	"긴 쇠 냄새를 맡고 두 행성을 빠르게 달려왔어요."	"I smelled long iron and ran fast across the two planets."	"고철을 넣은 파스타 냄새를 맡고 두 행성을 빠르게 달려왔어요."	"I smelled pasta with scrap metal and ran fast across the two planets."	"맞아요. 너트를 넣은 파스타 2개 주세요."	"That's right. Two pasta with nuts, please."
면	너트	없음	없음	없음	6	1	"저기 저 너트면이 맛있을 것 같아요."	"That nut pasta over there looks delicious."	"맛있죠, 너트를 넣은 파스타."	"Delicious, pasta with nuts."	"맞아요. 너트 그리고 파스타."	"That's right. Nut and pasta."
