메인재료	부재료	수량	조리방식	반 반	한국어	영어
면	스티커		없음	FALSE	"와이파이 있으신가요? 잠시 빌려써도 될까요? 스텟카아 파스타 하나 주문할게요."	Do you have Wi-Fi? Can I borrow it for a while? I'd like to order a sticker pasta."
면	스티커		없음	FALSE	"파스타 하나요. 접착력이 강하게요."	"One pasta, please. The adhesion is strong."
면	스티커		없음	FALSE	"파스타랑 스티커가 같이 있으면 맛이 이상해요."	"It tastes weird with pasta and stickers."
면	스티커		없음	FALSE	"풀처럼 찐득하고, 가느다란 파스타"	"Sticky, thin pasta like grass"
면	스티커		없음	FALSE	"요나하 타스파 커티스"	"Eno Atsap Rekcits"
면	방부제		없음	FALSE	"썩지 않는 파스타 하나요."	"One pasta that doesn't rot."
면	방부제		없음	FALSE	"고대 이집트에선 왕족과 귀족들의 면을 방부제로 하시던 거 아시나요...."	"Did you know that in ancient Egypt, the pasta of royalty and aristocrats was used as a preservative..."
면	방부제		없음	FALSE	"포르말린 파스타를 드셔보셨나요? 정말 맛있어요!"	"Have you tried formalin pasta? It's really good!"
면	방부제		없음	FALSE	"오래 먹을 수 있는 파스타 주세요."	"Please give me pasta that I can eat for a long time."
면	방부제		없음	FALSE	"그냥 방부제 파스타 주세요."	"Just a preservative pasta, please."
면	똥		없음	FALSE	"길게 늘어져 있는 웃는 똥에 대해 들어보셨나요? 히히..."	"Have you heard of the long drooping smiling poop? "Hehe..."
면	똥		없음	FALSE	"땡큐 베리 풉…파"	"Thank you very pub…pa"
면	똥		없음	FALSE	"어제 화장실에 봤던 기다란거 주세요."	"Give me the long one I saw in the bathroom yesterday."
면	똥		없음	FALSE	"똥 냄새를 맡고 다섯 행성을 파르게 달려왔어요."	"I smelled the poop and ran to five planets."
면	똥		없음	FALSE	"똥똥 파스타"	"PoopPoop pasta."
면	종이		없음	FALSE	"페이퍼 면이 들어간 음식은 몇 달러 페이퍼?"	"How many dollars is the food with paper noodles?"
면	종이		없음	FALSE	"파피루스 파스타 하나요."	"One papyrus pasta, please."
면	종이		없음	FALSE	"요나하 타스파 이종"	"Eno Atsap Repap"
면	종이		없음	FALSE	"종이 파스타.. 제 눈으로 확인해 봐야겠어요"	"Paper pasta..." I'll have to check with my own eyes."
